Gene_Name,Gene_symbol,Human_entrez,Rat_entrez,Mouse_entrez,Synonym,DbTF,PMID,Uniprot_Human,Uniprot_Rat,Uniprot_mouse
BNC2,basonuclin 2,54796,298189,242509,BSN2,yes,15081112,Q6ZN30,D3ZZ22,"Q2TBA4,A2AK55,Q8BMQ3"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,360588,237911,BACH1|FANCJ|OF,yes,11069897,Q9BX63,,Q5SXJ3
BSX,brain-specific homeobox,390259,500982,244813,BSX1,yes,17550780,Q3C1V8,D4A5F6,Q810B3
BTBD11,BTB (POZ) domain containing 11,121551,314675,74007,-,yes,21073692,"B3KVD0,B3KXB0,B3KXG3,A6QL63,E9PHS4",,"Q8BRL1,Q6GQW0,B2RUH2,E9QJW1"
BTBD3,BTB (POZ) domain containing 3,22903,311462,228662,DJ742J24.1,yes,19235015,Q9Y2F9,D3ZJC0,"Q8CHC1,Q3TSN9,Q6P5B8"
BTG2,"BTG family, member 2",7832,29619,12227,PC3|TIS21,yes,20020054,P78543,P27049,"Q04211,Q3TF68"
C1ORF61,chromosome 1 open reading frame 61,10485,0,0,CROC4,yes,10995546,Q13536,,
C1ORF85,chromosome 1 open reading frame 85,112770,0,0,NCU-G1,yes,18021396,Q8WWB7,,
CAMTA1,calmodulin binding transcription activator 1,23261,362665,100072,CANPMR,yes,21857646,"Q9Y6Y1,G3V3Z7",Q3KQW8,"A2A891,Q3TYE0"
CARF,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8",79800,301446,241066,ALS2CR8|NYD-SP24,yes,11832226,Q8N187,D4A7U2,Q8VHI4
CASZ1,castor zinc finger 1,54897,313713,69743,CAS11|CST|SRG|ZNF693|DJ734G22.1,yes,22331471,Q86V15,,"B1AS46,Q9CWL2"
CC2D1A,coiled-coil and C2 domain containing 1A,54862,0,0,FREUD-1|FREUD-1/AKI1|MRT3,yes,21155902,,,
CC2D1B,coiled-coil and C2 domain containing 1B,200014,0,0,-,yes,21155902,,,
CDC5L,CDC5 cell division cycle 5-like (S. pombe),988,85434,71702,CDC5|CDC5-LIKE|CEF1|PCDC5RP|DJ319D22.1,yes,11082045,Q99459,"O08837,B1WBQ0","Q3UCF2,Q6A068"
CDX1,caudal type homeobox 1,1044,364883,12590,-,yes,"12954759, 15677472, 15774940",P47902,,P18111
CDX2,caudal type homeobox 2,1045,66019,12591,CDX-3|CDX3,yes,7935448,Q99626,Q9ESV7,"Q543L9,P43241"
CDX4,caudal type homeobox 4,1046,302400,12592,-,yes,21471217,O14627,D3ZF67,"Q78Z64,Q07424"
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,24252,12606,C/EBP-ALPHA|CEBP,yes,"2227417, 8632009",P49715,P05554,P53566
CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",1051,24253,12608,C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5,yes,"15308669, 15713650",P17676,P21272,"Q3UPN9,P28033"
CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",1052,25695,12609,C/EBP-DELTA|CELF|CRP3|NF-IL6-BETA,yes,8572170,P49716,Q03484,"B9EIA9,Q00322,Q3UE64"
CEBPE,"CCAAT/enhancer binding protein (C/EBP), epsilon",1053,25410,110794,C/EBP-EPSILON|CRP1,yes,10233885,Q15744,P56261,Q6PZD9
CEBPG,"CCAAT/enhancer binding protein (C/EBP), gamma",1054,25301,12611,GPE1BP|IG/EBP-1,yes,"7501458, 15833715",P53567,"P26801,B2GVA2","P53568,Q54AJ1"
CEBPZ,"CCAAT/enhancer binding protein (C/EBP), zeta",10153,362686,12607,CBF|CBF2|HSP-CBF|NOC1,yes,2247079,Q03701,,P53569
CGGBP1,CGG triplet repeat binding protein 1,8545,288353,106143,CGGBP|P20-CGGBP,yes,10692448,Q9UFW8,D4ADB4,"A6X966,Q8BHG9"
CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3,54927,0,0,MINOS3|PPP1R22,yes,22567091,,,
CIC,capicua homolog (Drosophila),23152,308435,71722,-,yes,16717057,Q96RK0,,"E9QP01,Q924A2"
CLOCK,clock circadian regulator,9575,60447,12753,KAT13D|BHLHE8,yes,15147242,"Q3ZCT4,O15516,Q53EU0",Q9WVS9,O08785
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,64530,12785,CNBP1|DM2|PROMM|RNF163|ZCCHC22|ZNF9,yes,7721877,"A8K7V4,Q4JGY1,E9PDR7,P62633",P62634,"Q3U5V2,Q3U935,Q5QJQ9,P53996"
CNOT3,"CCR4-NOT transcription complex, subunit 3",4849,308311,232791,LENG2|NOT3|NOT3H,yes,"19339689, 19339689",O75175,D3ZXE8,Q8K0V4
CREB1,cAMP responsive element binding protein 1,1385,81646,12912,CREB,yes,"14593102, 15054091","Q5U0J5,Q53X93,P16220",P15337,"Q62347,Q547S9,Q543W0,Q01147"
CREB3,cAMP responsive element binding protein 3,10488,298400,12913,LUMAN|LZIP,yes,9271389,O43889,Q6P6G3,Q3UNH6
CREB3L1,cAMP responsive element binding protein 3-like 1,90993,362165,26427,OASIS,yes,12054625,Q96BA8,Q66HA2,Q9Z125
CREB3L2,cAMP responsive element binding protein 3-like 2,64764,362339,208647,BBF2H7,yes,17178827,"Q70SY1,Q68D60",Q6QDP7,Q8BH52
CREB3L3,cAMP responsive element binding protein 3-like 3,84699,314638,208677,CREB-H|CREBH,yes,11353085,Q68CJ9,Q5FVM5,Q91XE9
CREB3L4,cAMP responsive element binding protein 3-like 4,148327,310616,78284,AIBZIP|ATCE1|CREB3|CREB4|JAL|HJAL,yes,"11956138, 15938716","Q8TEY5,Q5T4L0",Q5UEM7,Q9D2A5
CREB5,cAMP responsive element binding protein 5,9586,500131,231991,CRE-BPA,yes,8440710,Q02930,D3ZBH0,Q8K1L0
CREBBP,CREB binding protein,1387,54244,12914,CBP|KAT3A|RSTS,yes,21539536,"Q92793,Q4LE28",F1M9G7,"Q6GQV9,F8VPR5"
CREBL2,cAMP responsive element binding protein-like 2,1389,362453,232430,-,yes,21728997,O60519,Q5BJU6,Q32M00
CREBRF,CREB3 regulatory factor,153222,303016,77128,C5ORF41|LRF,yes,16940180,Q8IUR6,D4A811,Q8CDG5
CREM,cAMP responsive element modulator,1390,25620,12916,CREM-2|ICER|HCREM-2,yes,"1847666, 8458330","E9PAR4,E9PHM1,Q5W1B0,C9JZ10,Q03060,C9J785,Q14501,A8MPQ2,Q5W1A7","F1LNP3,Q03061","Q9CQ87,Q3TTH6,E9PV35,P27699,Q78Z98,Q99JF1"
CRX,cone-rod homeobox,1406,60446,12951,CORD2|CRD|LCA7|OTX3,yes,"15001570, 16332268",O43186,Q9JLT8,"Q543C9,E9PXK1,O54751"
CSRNP1,cysteine-serine-rich nuclear protein 1,64651,363165,215418,AXUD1|CSRNP-1|FAM130B|TAIP-3|URAX1,yes,17726538,Q96S65,D4AAK3,P59054
CSRNP2,cysteine-serine-rich nuclear protein 2,81566,315308,207785,C12ORF2|C12ORF22|FAM130A1|PPP1R72|TAIP-12,yes,17726538,Q9H175,D4A1W4,Q8BGQ2
CSRNP3,cysteine-serine-rich nuclear protein 3,80034,311093,77771,FAM130A2|PPP1R73|TAIP-2|TAIP2,yes,17726538,Q8WYN3,D4AE74,P59055
CTBP2,C-terminal binding protein 2,1488,81717,13017,-,yes,21315774,P56545,Q9EQH5,"P56546,Q3UGL5"
CTCF,CCCTC-binding factor (zinc finger protein),10664,83726,13018,-,yes,15143173,"Q59EL8,P49711,B5MC38",Q9R1D1,Q61164
CTCFL,CCCTC-binding factor (zinc finger protein)-like,140690,296420,664799,BORIS|CT27|CTCF-T|HMGB1L1|DJ579F20.2,yes,18413740,"A6XGM8,A6XGM2,A6XGN2,A6XGL8,E7EUE3,A6XGN0,A0S6W1,Q8NI51,A6XGM9,A6XGN3,A6XGN1,A6XGN4,A6XGM0",,A2APF3
CTNNBL1,"catenin, beta like 1",56259,296320,66642,C20ORF33|NAP|NYD-SP19|P14L|PP8304|DJ633O20.1,yes,18325910,Q8WYA6,Q4V8K2,"A2ACD3,Q9CWL8"
CUX1,cut-like homeobox 1,1523,116639,13047,CASP|CDP|CDP/CUT|CDP1|COY1|CUTL1|CUX|CLOX|CUX/CDP|GOLIM6|NBLA10317|P100|P110|P200|P75,yes,15994318,"G3V1Z6,B4DZZ2,Q3LIA3,J3KQV9,Q13948,P39880,B3KWH8,J3KPQ6,B3KV79",,"Q6AXG1,Q5BL05,H3BKT0,E9QKE9,P70403,P53564"
CUX2,cut-like homeobox 2,23316,288665,13048,CDP2|CUTL2,yes,"8798433, 15656993",O14529,,P70298
DACH1,dachshund homolog 1 (Drosophila),1602,0,13134,DACH,yes,"20956529, 20869363","D0FY36,Q9UI36,D0FY35",,"Q68G54,Q9QYB2"
DACH2,dachshund homolog 2 (Drosophila),117154,302333,93837,-,yes,17075071,"Q96NX9,A8K3I1",,"B1AU58,Q925Q8,B1AUM0"
DBP,D site of albumin promoter (albumin D-box) binding protein,1628,24309,13170,DABP,yes,2331750,Q10586,P16443,"Q3USN7,Q60925"
DBX1,developing brain homeobox 1,120237,292934,13172,-,yes,"17729296, 21552538",A6NMT0,Q5NSW5,P52950
DBX2,developing brain homeobox 2,440097,541457,223843,-,yes,20081190,Q6ZNG2,F1LRM4,"Q8BZD0,F8VQH7"
DDIT3,DNA-damage-inducible transcript 3,1649,29467,13198,CEBPZ|CHOP|CHOP-10|CHOP10|GADD153,yes,8657121,"Q53YD1,P35638,F8VS99","Q496Y7,Q62804","Q3V405,P35639"
DDN,0,0,0,0,0,yes,21911934,,,
DEAF1,DEAF1 transcription factor,10522,83632,54006,NUDR|SPN|ZMYND5,yes,9860983,O75398,O88450,Q9Z1T5
DENND4A,DENN/MADD domain containing 4A,10260,0,102442,IRLB|MYCPBP,yes,2005901,"Q05C90,E7EPL3,Q7Z401",,E9Q8V6
DIDO1,death inducer-obliterator 1,11083,362286,23856,BYE1|C20ORF158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|DJ885L7.8,yes,10393935,Q9BTC0,,Q8C9B9
DLX1,distal-less homeobox 1,1745,296500,13390,-,yes,17409112,P56177,G3V669,"Q64317,A2ATU7"
DLX2,distal-less homeobox 2,1746,296499,13392,TES-1|TES1,yes,14769946,"Q53QU7,Q07687",G3V668,"Q52KJ2,P40764"
DLX3,distal-less homeobox 3,1747,287638,13393,AI4|TDO,yes,16687405,O60479,D4ADD0,"Q64205,Q78ZZ8"
DLX4,distal-less homeobox 4,1748,303469,13394,BP1|DLX7|DLX8|DLX9,yes,11909945,Q92988,D4AC19,P70436
DLX5,distal-less homeobox 5,1749,25431,13395,SHFM1D,yes,15383550,"Q53Y73,P56178",P50575,"P70396,Q3TYA7"
DLX6,distal-less homeobox 6,1750,500023,13396,-,yes,11711438,"J3KR92,P56179",,P70397
DMBX1,diencephalon/mesencephalon homeobox 1,127343,313512,140477,MBX|OTX3|PAXB,yes,12055180,Q8NFW5,,"B1ASG2,Q91ZK4"
DMRT1,doublesex and mab-3 related transcription factor 1,1761,114498,50796,DMT1,yes,"20616082, 20951351",Q9Y5R6,Q925A6,Q9QZ59
DMRT2,doublesex and mab-3 related transcription factor 2,10655,309430,226049,-,yes,"20368965, 20368965","Q05C20,Q5HYK2,Q9Y5R5",D4A098,Q8BG36
DMTF1,cyclin D binding myb-like transcription factor 1,9988,114485,23857,DMP1|DMTF|HDMP1,yes,19816943,"Q9Y222,B3KMJ8",Q66HG1,Q8CE22
DPF1,"D4, zinc and double PHD fingers family 1",8193,50545,29861,BAF45B|NEUD4|NEURO-D4,yes,11078465,"Q6PJ73,Q92782",B0K016,"Q9QX66,Q6GTK4"
DPF3,"D4, zinc and double PHD fingers, family 3",8110,299186,70127,CERD4,yes,14769913,Q92784,,"B5TZD5,P58269"
DRGX,dorsal root ganglia homeobox,644168,252880,107751,DRG11|PRRXL1,yes,19598127,C9JW76,Q62798,Q8BYH0
DUX1,double homeobox 1,26584,0,0,-,yes,9736770,"O43812,Q96PT3",,
DUX4,double homeobox 4,22947,0,664783,DUX10,yes,17984056,F5GZ66,,A1JVI8
E2F1,E2F transcription factor 1,1869,399489,13555,E2F-1|RBAP1|RBBP3|RBP3,yes,17178835,"Q9BSD8,Q01094",,"Q547J6,Q61501"
E2F2,E2F transcription factor 2,1870,24566,242705,E2F-2,yes,10766737,Q14209,P70521,"Q8BJ38,P56931"
E2F3,E2F transcription factor 3,1871,291105,13557,E2F-3,yes,"15448153, 17135268","Q68DT0,O00716",,"Q3UZJ0,O35261,Q6PCM3"
E2F4,"E2F transcription factor 4, p107/p130-binding",1874,100360427,104394,E2F-4,yes,12110166,Q16254,,Q8R0K9
E2F5,"E2F transcription factor 5, p130-binding",1875,116651,13559,E2F-5,yes,7760804,"E9PBN9,Q15329",,Q61502
E2F6,E2F transcription factor 6,1876,313978,50496,E2F-6,yes,"15574595, 15936277",O75461,Q80ZB0,"Q8VHT4,O54917"
E2F7,E2F transcription factor 7,144455,314818,52679,-,yes,"12893818, 14633988",Q96AV8,,"Q8BQ55,Q6S7F2"
E2F8,E2F transcription factor 8,79733,308607,108961,E2F-8,yes,16179649,A0AVK6,,Q58FA4
E4F1,E4F transcription factor 1,1877,681359,13560,E4F,yes,2169022,Q66K89,,Q8CCE9
EAF2,ELL associated factor 2,55840,266787,106389,BM040|TRAITS|U19,yes,16114057,Q96CJ1,Q811X5,Q91ZD6
EBF1,early B-cell factor 1,1879,116543,13591,COE1|EBF|O/E-1|OLF1,yes,"12446773, 20543837",Q9UH73,Q63398,"Q07802,Q5SWK5"
EBF2,early B-cell factor 2,64641,361060,13592,COE2|EBF-2|O/E-3|OE-3,yes,17018599,"B7Z934,Q9HAK2,B2RNT0",D3ZT68,O08792
EBF3,early B-cell factor 3,253738,361668,13593,COE3|EBF-3|O/E-2|OE-2,yes,17018599,Q9H4W6,D4A274,"Q6NXL3,O08791,Q5DTH8"
EBF4,early B-cell factor 4,57593,680751,228598,COE4|O/E-4,yes,12139918,"E9PEI2,Q9BQW3,Q7Z5T1",D3ZWW1,"B2RQX3,Q8K4J2"
EED,embryonic ectoderm development,8726,293104,13626,HEED|WAIT1,yes,9234727,O75530,B5DF02,Q921E6
EGR1,early growth response 1,1958,24330,13653,AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225,yes,"8336701, 9858508","Q546S1,P18146",P08154,"Q8CAT6,P08046,Q544D6"
EGR2,early growth response 2,1959,114090,13654,AT591|CMT1D|CMT4E|KROX20,yes,12687019,P11161,P51774,"P08152,Q3U207"
EGR3,early growth response 3,1960,25148,13655,EGR-3|PILOT,yes,1906159,"B4DHJ5,E7EW38,Q06889,B4DH80",P43301,P43300
EGR4,early growth response 4,1961,25129,13656,NGFI-C|NGFIC|PAT133,yes,17192429,"G3V1T5,B2RAE3,B7ZKU3",Q00911,"Q3URA9,Q9WUF2"
EHF,ets homologous factor,26298,295965,13661,ESE3|ESE3B|ESEJ,yes,"10644770, 17027647","Q9NZC4,E9PSB2",B2RYD8,"A2BIB4,O70273"
ELF1,E74-like factor 1 (ets domain transcription factor),1997,85424,13709,-,yes,"12065417, 16002702","Q6MZZ4,E9PDQ9,P32519,B4E2I5","Q9EQY2,G3V9V2,Q9EQY3","Q3V1H4,Q60775"
ELF2,E74-like factor 2 (ets domain transcription factor),1998,361944,69257,"EU32|NERF|NERF-1A|NERF-1B|NERF-1A,B|NERF-2",yes,8756667,Q15723,"Q5XIS3,Q5XIT5",Q9JHC9
ELF3,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )",1999,304815,13710,EPR-1|ERT|ESE-1|ESX,yes,11893733,P78545,Q4V7E1,Q3UPW2
ELF4,E74-like factor 4 (ets domain transcription factor),2000,302811,56501,ELFR|MEF,yes,8895518,Q99607,,Q9Z2U4
ELF5,E74-like factor 5 (ets domain transcription factor),2001,366142,13711,ESE2,yes,"9840936, 10506207","A6XAE6,A8K443,Q9UKW6",D4A3N9,"Q8VDK3,Q3V1F7,Q3ULZ4"
ELK1,"ELK1, member of ETS oncogene family",2002,314436,13712,-,yes,1425594,"Q86SR6,P19419",A4GTP4,P41969
ELK3,"ELK3, ETS-domain protein (SRF accessory protein 2)",2004,362871,13713,ERP|NET|SAP2,yes,"7958835, 12896968",P41970,D4A9V6,P41971
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,304786,13714,SAP1,yes,11846562,"P28324,Q8IXL1",B4F7D4,P41158
EMX1,empty spiracles homeobox 1,2016,500235,13796,-,yes,16793035,Q04741,D3ZV90,Q04742
EMX2,empty spiracles homeobox 2,2018,499380,13797,-,yes,16793035,"G3V305,Q04743",D3ZCK7,Q04744
EN1,engrailed homeobox 1,2019,685360,13798,-,yes,8096059,Q05925,,"P09065,Q3USA2"
EN2,engrailed homeobox 2,2020,499964,13799,-,yes,21364037,P19622,D3Z8B1,"Q3TZM2,P09066"
ENO1,"enolase 1, (alpha)",2023,24333,13806,ENO1L1|MPB1|NNE|PPH,yes,2005901,"P06733,E2DRY6","Q5BJ93,P04764","Q5FW97,P17182"
EOMES,eomesodermin,8320,316052,13813,TBR2,yes,11585801,O95936,,O54839
EP300,E1A binding protein p300,2033,170915,328572,KAT3B|RSTS2|P300,yes,22780989,"Q7Z6C1,Q09472",,"E9PYJ8,Q8BJ14"
EPAS1,endothelial PAS domain protein 1,2034,29452,13819,ECYT4|HIF2A|HLF|MOP2|PASD2|BHLHE73,yes,18442887,"Q99814,B3KW07",Q9JHS1,P97481
ERF,Ets2 repressor factor,2077,292721,13875,PE-2|PE2,yes,12533699,P50548,D3ZJW0,P70459
ERG,v-ets erythroblastosis virus E26 oncogene homolog (avian),2078,170909,13876,ERG-3|P55,yes,22117042,"B4DVX5,P11308,B4DN83",Q91XV5,P81270
ESR1,estrogen receptor 1,2099,24890,13982,ER|ESR|ESRA|ERA|NR3A1,yes,"10908317, 16636675","Q9UBT1,G4XH65,P03372",P06211,"E7FJU2,P19785"
